,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
anderbr02,308,255,57,3,1,0,22,7,35,2,10,1,5,3,0
anderbr03,355,799,208,4,8,2,7,65,181,13,80,22,47,1,1
anderda02,873,2026,331,13,5,17,37,206,490,49,143,19,73,12,1
anderdw01,149,306,70,0,2,2,2,32,62,2,14,1,6,2,0
anderfe01,97,234,25,0,4,0,7,18,61,1,15,2,12,0,0
anderfr01,180,312,98,0,1,0,13,10,41,0,12,0,6,1,0
anderga01,2228,8640,1224,87,8,104,13,429,2529,80,1365,287,522,36,4
anderge01,269,1007,111,0,15,0,19,98,289,36,69,5,40,17,1
andergo01,127,413,0,0,6,0,11,80,85,27,12,1,3,1,0
anderha02,484,1586,291,15,16,32,9,159,419,3,242,60,82,16,1
anderji01,419,970,130,6,5,2,29,81,211,9,86,13,35,2,1
anderjo01,1635,6341,55,0,53,0,64,310,1841,338,976,49,328,124,4
anderjo03,179,486,82,1,4,2,2,26,132,36,47,4,17,5,0
anderke01,135,366,61,1,2,1,10,30,95,1,22,1,12,2,0
anderma02,1151,3204,471,31,15,28,31,227,849,71,371,63,174,20,2
andermi01,721,1490,343,13,4,25,7,161,367,8,134,28,67,11,1
andersp01,152,477,53,2,1,1,5,42,104,6,34,0,9,3,0
andinro01,468,1320,309,7,6,2,21,113,306,24,96,18,58,1,1
andreed01,774,3233,245,0,9,0,0,194,830,205,278,12,117,26,3
andreiv01,253,319,62,0,0,0,17,18,59,0,29,0,9,0,0
andreji01,53,202,41,0,2,0,0,23,38,11,17,3,4,2,0
andremi01,893,3116,390,23,16,12,72,458,803,18,316,66,140,4,2
andrena01,128,240,66,0,0,0,19,23,35,0,16,0,5,0,0
andrero01,493,1454,121,12,0,6,27,148,365,33,91,3,30,15,1
andresh01,569,1704,515,19,7,17,3,191,375,7,263,86,76,4,1
andruel01,1074,4119,614,29,30,2,95,361,1113,217,367,27,176,30,3
andujjo01,407,607,315,1,0,0,51,30,77,7,38,5,12,2,0
ankieri01,653,1921,555,12,12,13,8,162,462,21,251,76,101,10,1
ansonca01,2523,10277,302,0,32,0,27,983,3418,276,2076,97,581,142,4
anthoer01,682,1999,491,19,5,22,3,217,462,24,269,78,81,8,1
antonjo01,135,528,29,0,2,0,6,24,133,1,29,1,28,2,0
antonjo02,403,679,175,3,1,0,35,26,121,1,59,15,12,3,0
aokino01,531,1963,169,9,36,2,24,171,563,81,156,24,91,16,1
aparilu01,2601,10230,742,76,27,22,161,736,2677,506,791,83,394,92,4
applepe01,343,374,66,0,0,0,12,8,87,0,34,0,8,7,0
applilu01,2422,8856,528,0,11,0,74,1302,2749,179,1116,45,440,102,4
archdma01,127,384,39,0,4,0,13,48,128,13,29,0,14,4,0
