,G,AB,SO,SF,HBP,IBB,SH,BB,R,H,SB,RBI,HR,2B,3B,W,SHO,CG,SV,SO,HRA,HA,ER,IP,ERA,HOF
allenjo01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,6,18,0
allenjo02,365,716,155,0,0,0,36,33,82,124,1,64,4,12,3,142,17,109,18,1070,104,1849,813,5851,3.75166638181507,0
allenki01,42,54,5,0,1,2,2,8,10,12,12,3,0,3,0,0,0,0,0,0,0,0,0,0,NA,0
allenll01,159,40,14,0,0,0,3,0,2,8,0,1,1,1,0,8,0,0,22,194,19,291,155,892,4.69170403587444,0
allenlu01,8,9,3,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
allenmy01,156,606,3,0,6,0,0,45,89,157,30,88,4,28,14,1,0,3,0,3,0,34,7,107,1.76635514018692,0
allenne01,434,115,51,0,0,0,11,3,3,15,0,7,0,2,2,58,6,7,75,611,73,985,426,2965,3.87925801011804,0
allenni01,216,500,73,0,6,0,10,33,41,116,8,36,0,13,5,0,0,0,0,0,0,0,0,0,NA,0
allenpe01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenro01,7,11,5,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0
allenro02,31,50,11,0,1,0,1,2,8,11,1,3,0,2,0,0,0,0,0,0,0,0,0,0,NA,0
allensl01,14,23,0,0,2,0,1,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0
alleyge01,1195,3927,622,22,27,62,56,300,442,999,63,342,55,140,44,0,0,0,0,0,0,0,0,0,NA,0
alliebo01,21,45,6,0,0,1,1,1,4,8,0,2,1,1,0,0,0,0,0,0,0,0,0,0,NA,0
alliega01,121,418,84,3,2,0,3,56,38,83,1,30,3,8,6,0,0,0,0,0,0,0,0,0,NA,0
allisan01,24,93,3,0,0,0,0,0,11,15,0,9,0,3,0,0,0,0,0,0,0,0,0,0,NA,0
allisar01,168,740,18,0,0,0,0,5,106,188,10,70,1,19,8,0,0,0,0,0,0,0,0,0,NA,0
allisbi01,5,19,1,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
